"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CTD-2269F5.1",25.2707747401817,-4.05966657733422,0.713036504534949,-5.69349051768672,1.24468131923346e-08,1.22084420943685e-07
"CTD-2270F17.1",11.8586980062025,-2.67169471826162,1.10420765009144,-2.41955823982958,0.0155393721383239,0.0349058560909381
"CTD-2270L9.2",38.430465883623,-2.65378063221744,0.686358400572814,-3.86646485276887,0.000110424369483935,0.000464556501917972
"CTD-2270L9.4",20.1530629759241,1.46775683244525,0.397048677596467,3.69666722309796,0.000218448386750832,0.000853407472352651
"CTD-2270N23.1",1.22855474468625,-1.5124263641031,1.12429604104401,-1.34522075048729,0.178553957066856,0.263668960498165
"CTD-2280E9.1",0.779807140928859,0.45774779848882,1.90619434336969,0.240137003910961,0.810224048366412,0.858841791005586
"CTD-2283N19.1",5.32013399646006,-2.51955448815499,0.979939860991245,-2.57113174843849,0.0101366756050266,0.024331501855705
"CTD-2284J15.1",7.41298274754253,4.34772218539358,1.15085456509905,3.77782068841982,0.000158206718093074,0.000640894200312145
"CTD-2286N8.2",39.8827472886902,-1.2554415485536,0.490284936738625,-2.56063659003027,0.0104480583400218,0.0249376496603252
"CTD-2287O16.1",22.2136824847015,1.76744791666616,0.339725830238839,5.20257148366841,1.96549718488075e-07,1.52845281640726e-06
"CTD-2287O16.4",1.95042241853726,3.36715340562824,1.06382941448937,3.16512531028711,0.00155016173967139,0.00481866639486113
"CTD-2287O16.5",90.1850493762791,-0.326761967154381,0.181873456080681,-1.79664462421292,0.0723920553074951,0.126483688511015
"CTD-2288F12.1",11.1024907797829,3.19080000805355,0.567364852855219,5.62389438118364,1.86699826157155e-08,1.7697877758165e-07
"CTD-2290P7.1",4.1814489959989,3.96673239899589,1.18321199962041,3.35251197610273,0.000800817766728513,0.00269580691330157
"CTD-2291D10.1",4.18785956790713,1.01323979345876,1.03136704223442,0.982424056583792,0.325890979618955,0.424620974469502
"CTD-2291D10.3",0.815185514116099,2.08086614818977,1.88434586371033,1.10429098408319,0.269466932561721,0.365848099342427
"CTD-2291D10.4",198.991196845083,1.75806852791,0.991435755301958,1.77325511865825,0.0761864424025554,0.131695994379253
"CTD-2292M16.8",101.048637887982,-0.78527225903042,0.337543970986839,-2.32642952186231,0.0199956482346108,0.0432718083294115
